CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,State,State Name,FIPS State Code,FIPS Place Code,Latitude,Longitude,Population,Population (2010),10 Year Population Growth,Population Density,Migration Rate Since Previous Year,Mean Travel Time,Public Transit,Bicycle,Walkability,Public Transit+Bicycle+Walkability,Per Capita Income,Median Household Income,Poverty Rate,Median Property Value,Employed Population,Employment Rate,Median Gross Rent,Median Owner Cost With Mortgage,Median Owner Cost Without Mortgage,Owner-Occupied Housing Unit Rate,Median Age,Population 0-9,Population 10-19,Population 20-29,Population 30-39,Population 40-49,Population 50-59,Population 60-69,Population 70-79,Population Over 80,Population Under 18,Population 18-64,Population Over 65,Percent Under 18,Percent 18-64,Percent Over 65,Percent 0-9,Percent 10-19,Percent 20-29,Percent 30-39,Percent 40-49,Percent 50-59,Percent 60-69,Percent 70-79,Percent Over 80,Age Diversity Index,Percent Under 30,Percent 10-29,Percent 18-29,High School Or Higher,Bachelor Or Higher,Postgrad Degree,Population White,Population Black,Population Native,Population Asian,Population Islander,Population Other,Population Two+,Population Hispanic,Race Diversity Index,Total Crime Rate,Violent Crime Rate,Property Crime Rate,Number of Events,Number of Events per Capita,Live Event Music Rate (LMER)
41820,"Sanford, NC",Micropolitan Statistical Area,Sanford,NC,North Carolina,37,59280,35.4798757,-79.1802994,29456,28094.0,1362.0,1013.6,15.04,23.75,0.62,0.0,0.97,1.59,22981.0,46915.0,18.19,142200.0,13353,0.45332020640956,753.0,1199.0,421.0,53.0,34.1,4556.0,4348.0,4215.0,3634.0,3932.0,3738.0,2650.0,1446.0,937.0,8208.0,17922.0,3326.0,27.87,60.84,11.29,15.47,14.76,14.31,12.34,13.35,12.69,9.0,4.91,3.18,0.1268168048536277,44.54,29.07,16.669999999999998,80.79,22.26,6.55,12774.0,8071.0,28.0,502.0,0.0,7.0,353.0,7721.0,0.3322604307789223,3398.0,538.0,2860.0,5,0.0001697447039652,0.0001697447039652
49220,"Wisconsin Rapids-Marshfield, WI",Micropolitan Statistical Area,Wisconsin Rapids,WI,Wisconsin,55,88200,44.3917589,-89.8228767,17770,18367.0,-597.0,1282.9,17.87,21.37,0.0,1.04,2.01,3.05,23516.0,42531.0,16.43,91100.0,7706,0.4336522228474957,758.0,945.0,429.0,55.1,40.7,2191.0,2072.0,2300.0,2113.0,1946.0,2728.0,1718.0,1557.0,1145.0,3955.0,10158.0,3657.0,22.26,57.16,20.58,12.33,11.66,12.94,11.89,10.95,15.35,9.67,8.76,6.44,0.116376136153354,36.93,24.6,14.669999999999998,89.75,15.0,5.28,15057.0,240.0,48.0,745.0,15.0,56.0,552.0,1057.0,0.724408569387297,3036.0,165.0,2870.0,3,0.0001688238604389,0.0001688238604389
42200,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area,Santa Maria,CA,California,6,69196,34.9531295,-120.4358577,107273,99553.0,7720.0,4703.7,12.85,21.68,2.06,0.43,1.41,3.9,22115.0,69393.0,12.78,373200.0,48277,0.4500386863423228,1414.0,1802.0,481.0,49.7,28.7,20655.0,17186.0,18691.0,15272.0,12062.0,8887.0,6312.0,4118.0,4090.0,34864.0,60818.0,11591.0,32.5,56.69,10.81,19.25,16.02,17.42,14.24,11.24,8.28,5.88,3.84,3.81,0.1392553739471764,52.69,33.44,20.19,59.39,13.73,4.37,14833.0,1966.0,238.0,2993.0,0.0,0.0,631.0,86612.0,0.6721617734419673,3057.0,771.0,2286.0,18,0.000167796183569,0.000167796183569
33220,"Midland, MI",Metropolitan Statistical Area,Midland,MI,Michigan,26,53780,32.023939549999994,-102.09648921925708,41920,41863.0,57.0,1219.9,17.74,19.08,0.97,0.28,1.62,2.87,37878.0,63812.0,10.61,150400.0,19465,0.4643368320610687,788.0,1290.0,536.0,65.3,38.7,5063.0,5170.0,5751.0,5620.0,4938.0,5750.0,4339.0,3021.0,2268.0,9083.0,25663.0,7174.0,21.67,61.22,17.11,12.08,12.33,13.72,13.41,11.78,13.72,10.35,7.21,5.41,0.118095622073031,38.13,26.05,16.46,95.22,44.87,18.45,36728.0,846.0,213.0,1671.0,38.0,122.0,713.0,1589.0,0.7713821402927383,938.0,149.0,789.0,7,0.0001669847328244,0.0001669847328244
32540,"McAlester, OK",Micropolitan Statistical Area,McAlester,OK,Oklahoma,40,44800,34.9334981,-95.7697934,18045,18383.0,-338.0,1114.1,24.44,17.38,0.0,0.04,4.51,4.55,24512.0,43879.0,19.49,101600.0,6877,0.3811027985591577,730.0,989.0,332.0,61.4,35.8,2386.0,2067.0,2742.0,2925.0,1821.0,2182.0,1763.0,1226.0,933.0,4169.0,10859.0,3017.0,23.1,60.18,16.72,13.22,11.45,15.2,16.21,10.09,12.09,9.77,6.79,5.17,0.1215603322784936,39.870000000000005,26.65,16.770000000000003,85.35,16.88,5.78,12222.0,882.0,1063.0,110.0,0.0,15.0,2338.0,1415.0,0.4875490956836584,3476.0,321.0,3155.0,3,0.0001662510390689,0.0001662510390689
41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,Cupertino,CA,California,6,17610,37.3228934,-122.0322895,60257,58302.0,1955.0,5327.2,14.34,28.94,3.46,0.75,2.17,6.38,72507.0,171917.0,5.97,1711300.0,27161,0.4507526096553098,3163.0,0.0,872.0,60.2,41.6,6913.0,9743.0,4667.0,6809.0,12080.0,8195.0,5558.0,3562.0,2730.0,15480.0,35930.0,8847.0,25.69,59.63,14.68,11.47,16.17,7.75,11.3,20.05,13.6,9.22,5.91,4.53,0.1308001747268918,35.39,23.92,9.7,97.23,78.77,44.38,15168.0,482.0,38.0,40586.0,193.0,42.0,1741.0,2007.0,0.5190424991753547,1515.0,116.0,1399.0,10,0.00016595582256,0.00016595582256
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Eagan,MN,Minnesota,27,17288,44.818173,-93.1659179,66376,64206.0,2170.0,2127.8,11.15,23.32,3.16,0.0,1.46,4.62,44523.0,87029.0,8.56,317700.0,38405,0.57859768591057,1201.0,1793.0,576.0,69.7,36.7,9652.0,9907.0,7374.0,8930.0,9645.0,8532.0,7643.0,2875.0,1818.0,17799.0,40299.0,8278.0,26.82,60.71,12.47,14.54,14.93,11.11,13.45,14.53,12.85,11.51,4.33,2.74,0.1273737450084628,40.58,26.04,13.759999999999998,96.74,48.16,18.98,48650.0,6557.0,137.0,5546.0,101.0,85.0,1813.0,3490.0,0.5574110476165015,1995.0,58.0,1936.0,11,0.0001657225503193,0.0001657225503193
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Carson,CA,California,6,11530,33.8322043,-118.2517547,91407,91714.0,-307.0,4880.1,9.69,28.82,3.12,0.59,1.5,5.21,31781.0,84502.0,7.11,550300.0,44911,0.4913299856684937,1524.0,2203.0,459.0,73.1,43.8,6953.0,9480.0,17195.0,9366.0,10066.0,13860.0,12561.0,7978.0,3948.0,14697.0,60139.0,16571.0,16.08,65.79,18.13,7.61,10.37,18.81,10.25,11.01,15.16,13.74,8.73,4.32,0.1259045342501536,36.79,29.18,20.71,82.3,29.83,6.73,5282.0,25361.0,0.0,25400.0,1200.0,0.0,2881.0,31283.0,0.2758197247076445,2666.0,429.0,2237.0,15,0.000164101217631,0.000164101217631
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Bolingbrook,IL,Illinois,17,7133,41.7003302,-88.0717708,73304,73366.0,-62.0,2977.5,9.99,31.04,3.7,0.0,1.52,5.220000000000001,35452.0,94198.0,6.01,245700.0,40695,0.5551538797337117,1386.0,1936.0,825.0,80.9,37.9,9612.0,9543.0,11766.0,8174.0,9999.0,11618.0,7355.0,4203.0,1034.0,17456.0,47587.0,8261.0,23.81,64.92,11.27,13.11,13.02,16.05,11.15,13.64,15.85,10.03,5.73,1.41,0.129606400540604,42.18,29.07,18.37,90.58,34.62,11.47,30790.0,13264.0,89.0,8474.0,10.0,72.0,2811.0,18921.0,0.2818844016791908,1025.0,163.0,862.0,12,0.0001637018443741,0.0001637018443741
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Foley,AL,Alabama,1,26992,30.4065868,-87.6835974,18533,14618.0,3915.0,570.5,11.94,21.42,0.0,0.46,0.0,0.46,27078.0,43614.0,13.4,177600.0,7579,0.4089462040684185,855.0,1223.0,364.0,66.4,47.0,1505.0,1829.0,2069.0,2472.0,1860.0,2524.0,2421.0,2711.0,1142.0,3029.0,10667.0,4837.0,16.34,57.56,26.1,8.12,9.87,11.16,13.34,10.04,13.62,13.06,14.63,6.16,0.1174201847541796,29.15,21.03,12.81,88.27,23.54,7.86,14389.0,2224.0,0.0,215.0,0.0,59.0,96.0,1550.0,0.62434172613429,4285.0,256.0,4029.0,3,0.0001618734149894,0.0001618734149894
10860,"Alice, TX",Micropolitan Statistical Area,Alice,TX,Texas,48,1852,27.7522487,-98.0697249,19007,19104.0,-97.0,1584.9,12.08,25.55,0.0,0.0,1.89,1.89,21822.0,36059.0,26.87,77600.0,7777,0.4091650444573052,701.0,1235.0,392.0,59.5,35.3,2896.0,2730.0,2697.0,2537.0,2012.0,2210.0,2003.0,978.0,944.0,5000.0,11131.0,2876.0,26.31,58.56,15.13,15.24,14.36,14.19,13.35,10.59,11.63,10.54,5.15,4.97,0.1226937658910989,43.79,28.55,17.48,75.49,14.44,3.66,2312.0,221.0,82.0,194.0,54.0,13.0,100.0,16031.0,0.72644355105889,4905.0,606.0,4299.0,3,0.0001578365865207,0.0001578365865207
